"Export date: 7/11/2021, 6:48:02 PM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Reviews","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: -kvnjdsnfkjew","","1","JVL 20-Piece Peg Oval Sock Dryer","JVL","6.00","1385","46","8310","08/09/2012","2.9","3145","4.5","3.1","1902","Home & Kitchen","B008VC499M","https://www.amazon.co.uk/JVL-Oval-Sock-Dryer-Pieces/dp/B008VC499M/ref=sr_1_3988?dchild=1&keywords=-kvnjdsnfkjew&qid=1626011244&s=kitchen&sr=1-3988"
"Average Sales: 735","","2","2pcs Melon Baller Set 2-in-1 Stainless Steel Fruit Carving Knife Fruit Purpose Scoop Ice Cream Scoops","ZACI","5.99","201","6","1204","03/05/2021","4.02","18","4.2","1.97","20032","Home & Kitchen","B08Y5C4JF4","https://www.amazon.co.uk/Baller-Stainless-Carving-Purpose-Scoops/dp/B08Y5C4JF4/ref=sr_1_3989?dchild=1&keywords=-kvnjdsnfkjew&qid=1626011244&s=kitchen&sr=1-3989"
"Average Sales Rank: 7,587","","3","Dishmatic Washing Up Brush with Sponge from Caraselle-Colour of Handle May Vary","Caraselle","2.25","526","17","1184","03/11/2021","-0.27","646","4.4","2.52","4123","Grocery","B01H2SS6FI","https://www.amazon.co.uk/Dishmatic-Washing-Brush-Heavy-Sponge/dp/B01H2SS6FI/ref=sr_1_3990?dchild=1&keywords=-kvnjdsnfkjew&qid=1626011244&s=kitchen&sr=1-3990"
"Average Price: £12.38","","4","Red Ocean The Only Thing Better Than Having You As My Sister Is My Children Having You As Their Auntie Love Gift Wooden Hanging Plaque Sign","RED OCEAN","3.99","357","11","1424","11/05/2015","2","929","4.6","1.99","8772","Home & Kitchen","B017M8KNTK","https://www.amazon.co.uk/Better-Having-Sister-Children-Hanging/dp/B017M8KNTK/ref=sr_1_3991?dchild=1&keywords=-kvnjdsnfkjew&qid=1626011244&s=kitchen&sr=1-3991"
"Average Reviews: 1,733","","5","JZMAX Art Supplies Colouring Pens Watercolour Brush Pens -[20 Watercolour Pens+1 Brush] Calligraphy Pens with Soft Flexible Nylon Brush Tip Coloured Pens Set Watercolour Pens Set Art Pens","JZMAX","7.55","805","26","6078","06/09/2020","5.34","543","4.7","2.21","598","Stationery & Office Supplies","B089WDJKYX","https://www.amazon.co.uk/JZMAX-Watercolour-Calligraphy-Flexible-Colouring/dp/B089WDJKYX/ref=sr_1_3992?dchild=1&keywords=-kvnjdsnfkjew&qid=1626011244&s=kitchen&sr=1-3992"
"","","6","NETTA Electric Glass Kettle - 1.7L Capacity - Fast Boil - Blue LED Illumination - Swivel Base with Flip Top - 2200W","NETTA","19.99","540","18","10795","10/31/2019","14.75","1179","4.3","5.24","2040","Home & Kitchen","B07ZTMVL9D","https://www.amazon.co.uk/NETTA-Electric-Kettle-Illuminated-Swivel/dp/B07ZTMVL9D/ref=sr_1_3993?dchild=1&keywords=-kvnjdsnfkjew&qid=1626011244&s=kitchen&sr=1-3993"
"","","7","Garden Trading Wash Up Tidy Chalk","Garden Trading","18.49","215","7","3975","06/19/2013","13.17","420","4.7","5.32","21503","Home & Kitchen","B00DI6KNPK","https://www.amazon.co.uk/Garden-Trading-Wash-Tidy-Chalk/dp/B00DI6KNPK/ref=sr_1_3994?dchild=1&keywords=-kvnjdsnfkjew&qid=1626011244&s=kitchen&sr=1-3994"
"","","8","Vacuum Sealer Machine VPCOK Vacuum Sealers with 10Pcs Vacuum Seal Bags Vacuum Packing Machine for Food Saver Food Vacuum Sealer Machines with Gentle & Dry & Moist Food Modes Black","VPCOK","39.99","60","2","2399","12/16/2020","31.69","313","4.4","8.3","28914","Home & Kitchen","B08QRT2F4V","https://www.amazon.co.uk/dp/B08QRT2F4V"
"","","9","SCENTORINI Fresh Dried Lavender Bag Lavender Sachets Natural Dried Flowers Large Size for Natural Deodorizer and Deodorant Sachets Home Clothes Drawers Wardrobes Shoes and Cars pack of 8","SCENTORINI","6.99","174","5","1216","07/07/2020","3.74","66","4.1","3.25","6775","Home & Kitchen","B08CGGQ7NS","https://www.amazon.co.uk/dp/B08CGGQ7NS"
"","","10","OXO 12168800 Good Grips Furlifter Self Cleaning Garment Brush White","OXO","13.93","489","16","6812","07/05/2016","9.59","9789","4.4","4.34","2766","Grocery","B01DF316EC","https://www.amazon.co.uk/dp/B01DF316EC"
"","","11","Tombow 4003198501119 2.3 mm Round Tip MONO Zero Refillable Eraser","Tombow","3.07","930","31","2855","08/22/2012","1.22","3998","4.7","1.85","949","Stationery & Office Supplies","B0056256LU","https://www.amazon.co.uk/dp/B0056256LU"
"","","12","Vibeey Embroidery Thread 200 Skeins Embroidery String Rainbow Color Cotton Embroidery Threads for Cross Stitch Threads Bracelet Yarn Craft Floss Embroidery Thread Pack","Vibeey","14.44","496","16","7162","03/09/2021","10.05","206","4.8","4.39","5949","Home & Kitchen","B08YF7QL2F","https://www.amazon.co.uk/dp/B08YF7QL2F"
"","","13","Funny Birthday Card From The Dog | Cards From Doggy Pup Puppy Fur Baby Pet | For Dad Mum Husband Wife | To Him Her Man Woman Mummy Daddy Sister Brother Cat | Cute Lovers Sausage Gifts Presents | 15cm","Felbridge Studio","3.99","1345","44","5367","03/13/2021","2.33","205","4.8","1.66","644","Stationery & Office Supplies","B08YWN8CFJ","https://www.amazon.co.uk/Birthday-Husband-Brother-Sausage-Presents/dp/B08YWN8CFJ/ref=sr_1_3990?dchild=1&keywords=-kvnjdsnfkjew&qid=1626011244&s=kitchen&sr=1-3990"
"","","14","Soho Black Stripe Duvet Cover Quilt Bedding Set Black White Grey Double Size by Rapport","Art","14.99","760","25","11392","01/28/2013","10.52","2554","4.3","4.47","2295","Home & Kitchen","B01H2SZ4LC","https://www.amazon.co.uk/dp/B01H2SZ4LC"
"","","15","Premium Reusable Birthday Party Decorations - Birthday Decoration Set - Happy Birthday Banner Honeycomb Decorations Streamers Paper Garland","Itsy Bitsy Party Co","13.99","2089","69","29225","05/07/2020","9.64","2404","4.9","4.35","851","Home & Kitchen","B087RJ5G9W","https://www.amazon.co.uk/dp/B087RJ5G9W"
"","","16","Outdoor Beach MatExtra Large Waterproof Picnic MatSand-proof Picnic Blanket for BeachParkCamping","TKLake","12.99","2218","73","28812","03/03/2020","8.82","586","4.4","4.17","191","Garden & Outdoors","B085DNMSJZ","https://www.amazon.co.uk/dp/B085DNMSJZ"
"","","17","Hotpoint C00386607 Dishwasher Cutlery Basket Grey","Hotpoint","13.99","243","8","3400","01/02/2015","9.53","2396","4.5","4.46","16212","Home & Kitchen","B00RLT795C","https://www.amazon.co.uk/dp/B00RLT795C"
"","","18","MOTHER NURTURE Classic Quilted Fibre Cot Bed Mattress White 140 x 70 x 13cm","Mother Nurture","31.99","460","15","14715","06/01/2020","18.84","224","4.7","13.15","952","Baby Products","B089R7HJ42","https://www.amazon.co.uk/dp/B089R7HJ42"
"","","19","Tacwise 0397 80 / 12mm Galvanized Points 30 mm Set of 5000 Pieces","Tacwise","7.82","2413","80","18870","01/14/2014","4.65","7277","4.7","3.17","271","DIY & Tools","B00HUTE7HQ","https://www.amazon.co.uk/dp/B00HUTE7HQ"
"","","20","WOLF-Garten ZM04 Multi-Change Small Handle Red 35 cm","Wolf-Garten","8.01","585","19","4686","07/08/2007","4.6","1253","4.7","3.41","1786","Garden & Outdoors","B00009Q17X","https://www.amazon.co.uk/dp/B00009Q17X"
"","","21","Amtech G4010 Builders Line with Spindle Handle and Lock 100m Yellow","Amtech","4.69","783","26","3672","11/30/2011","1.91","1720","4.5","2.78","1133","DIY & Tools","B006ZYUC9Y","https://www.amazon.co.uk/dp/B006ZYUC9Y"
"","","22","HEFTMAN Heavy Duty Stainless Steel Chrome Door Stop Dome Rubber Bumper 1kg Weighted Door Stopper Buffer Rings - Pack of 2","HEFTMAN","15.99","221","7","3534","02/08/2021","11.85","25","4.5","4.14","4814","DIY & Tools","B08W6VVX66","https://www.amazon.co.uk/dp/B08W6VVX66"
"","","23","Non Slip Round Serving Tray Anti Slip Tableware and Bar Serving Tray for Drinks Home Kitchenware Bars and Restaurants (Pack of 2 x 35cm Trays)","volila","16.99","327","10","5556","11/17/2020","10.31","37","4.4","6.68","14932","Home & Kitchen","B08NPYP68G","https://www.amazon.co.uk/dp/B08NPYP68G"
"","","24","BOSCH NEFF & SIEMENS Oven Bulb 300c 40W E14 SES Original GE Lamp PLUS A Handy Custom Fit Glass Lens Removal Tool.","Bosch","8.88","19","0","169","11/08/2012","5.34","1651","4.1","3.54","33673","Home & Kitchen","B00A3SO5H8","https://www.amazon.co.uk/dp/B00A3SO5H8"
