Date,Name,Marketplace,Status
3-Feb-21,tiny hands,Amazon US,Rejected (Permanently)
9-Jan-21,Lock pick set,Amazon US,Rejected (Permanently)
24-Dec-20,wooden beads,Amazon US,Rejected (Permanently)
16-Mar-21,Honey dipper,Amazon US,Rejected (Permanently)
16-Mar-21,Button pins,Amazon US,Rejected (Permanently)
15-Mar-21,tshirt alignment ruler,Amazon US,Rejected (Permanently)
12-Mar-21,spurtle set,Amazon US,Rejected (Permanently)
22-Feb-21,utensil rest,Amazon US,Rejected (Permanently)
29 Dec 2020,bed canopy,Amazon UK,Rejected (Permanently)
09 Jan 2021,lint free wipes for nails,Amazon UK,Rejected (Permanently)
09 Jan 2021,candle wick,Amazon UK,Rejected (Permanently)
09 Jan 2021,canvas for painting,Amazon UK,Rejected (Permanently)
07 Jan 2021,giant jenga,Amazon UK,Rejected (Permanently)
04 Jan 2021,dog whistle,Amazon UK,Rejected (Permanently)
05 Jan 2021,Tricep Rope,Amazon UK,Rejected (Permanently)
06 Jan 2021,Kalimba,Amazon UK,Rejected (Permanently)
06 Jan 2021,cellophane bags,Amazon UK,Rejected (Permanently)
06 Jan 2021,mixing bowl,Amazon UK,Rejected (Permanently)
06 Jan 2021,grinder for weed,Amazon UK,Rejected (Permanently)
10 Jan 2021,ludo game,Amazon UK,Rejected (Permanently)
10 Jan 2021,sanding disc,Amazon UK,Rejected (Permanently)
10 Jan 2021,Lemon Squeezer,Amazon UK,Rejected (Permanently)
10 Jan 2021,snowflake multi tool,Amazon UK,Rejected (Permanently)
11 Jan 2021,ice bucket,Amazon UK,Rejected (Permanently)
12 Jan 2021,boxing gloves,Amazon UK,Rejected (Permanently)
12 Jan 2021,pampas grass,Amazon UK,Rejected (Permanently)
12 Jan 2021,hula hoop,Amazon UK,Rejected (Permanently)
13 Jan 2021,pet hair remover washing machine,Amazon UK,Rejected (Permanently)
13 Jan 2021,piercing gun,Amazon UK,Rejected (Permanently)
15 Jan 2021,splashback for kitchen,Amazon UK,Rejected (Permanently)
15 Jan 2021,tap cartridges,Amazon UK,Rejected (Permanently)
15 Jan 2021,door hinges 3 inch,Amazon UK,Rejected (Permanently)
17 Jan 2021,hand grip strengthener,Amazon UK,Rejected (Permanently)
18 Jan 2021,paint roller,Amazon UK,Rejected (Permanently)
12 Dec 2020,makeup case,Amazon UK,Rejected (Permanently)
12 Dec 2020,marble run,Amazon UK,Rejected (Permanently)
12 Dec 2020,bath board,Amazon UK,Rejected (Permanently)
05 Dec 2020,gua sha,Amazon UK,Rejected (Permanently)
04 Dec 2020,steak knives,Amazon UK,Rejected (Permanently)
02 Dec 2020,Donut dog bed,Amazon UK,Rejected (Permanently)
21 Nov 2020,Folding Step Stool,Amazon UK,Rejected (Permanently)
18 Nov 2020,butchers block,Amazon UK,Rejected (Permanently)
14 Nov 2020,Boot jack,Amazon UK,Rejected (Permanently)
05 Nov 2020,Air Pump fish tank,Amazon UK,Rejected (Permanently)
04 Nov 2020,Tummy time water mat,Amazon UK,Rejected (Permanently)
04 Nov 2020,Knitting wool,Amazon UK,Rejected (Permanently)
25 Oct 2020,angle finder,Amazon UK,Rejected (Permanently)
22 Oct 2020,fake autumn leaves,Amazon UK,Rejected (Permanently)
18 Oct 2020,Rubble sacks,Amazon UK,Rejected (Permanently)
17 Oct 2020,bath tray,Amazon UK,Rejected (Permanently)
17 Oct 2020,bath pillow,Amazon UK,Rejected (Permanently)
16 Oct 2020,dummy clip,Amazon UK,Rejected (Permanently)
16 Oct 2020,Sticky pads,Amazon UK,Rejected (Permanently)
16 Oct 2020,Disability lanyard,Amazon UK,Rejected (Permanently)
15 Oct 2020,contour gauge,Amazon UK,Rejected (Permanently)
15 Oct 2020,ziplock bags,Amazon UK,Rejected (Permanently)
14 Oct 2020,Pogo Jumper,Amazon UK,Rejected (Permanently)
14 Oct 2020,hairpin legs,Amazon UK,Rejected (Permanently)
12 Oct 2020,cotbed duvet,Amazon UK,Rejected (Permanently)
11 Oct 2020,paper bags with handles,Amazon UK,Rejected (Permanently)
09 Oct 2020,fridge organisers,Amazon UK,Rejected (Permanently)
08 Oct 2020,planner pad,Amazon UK,Rejected (Permanently)
07 Oct 2020,Art Canvas,Amazon UK,Rejected (Permanently)
07 Oct 2020,maths compass,Amazon UK,Rejected (Permanently)
07 Oct 2020,plastic zip wallets,Amazon UK,Rejected (Permanently)
03 Oct 2020,Sling puck game,Amazon UK,Rejected (Permanently)
10-Feb-21,boxing pads,Amazon UK,Rejected (Permanently)
10-Feb-21,silk scrunchies,Amazon UK,Rejected (Permanently)
7-Feb-21,coloured card,Amazon UK,Rejected (Permanently)
6-Feb-21,paper plates,Amazon UK,Rejected (Permanently)
4-Feb-21,face mask brush,Amazon UK,Rejected (Permanently)
3-Feb-21,ribbon for crafts,Amazon UK,Rejected (Permanently)
1-Feb-21,earring hooks,Amazon UK,Rejected (Permanently)
31-Jan-21,punch needle,Amazon UK,Rejected (Permanently)
30-Jan-21,door wedge,Amazon UK,Rejected (Permanently)
30-Jan-21,electrical connectors,Amazon UK,Rejected (Permanently)
28-Jan-21,magic eraser sponge,Amazon UK,Rejected (Permanently)
25-Jan-21,hair rollers,Amazon UK,Rejected (Permanently)
24-Jan-21,electric foot file,Amazon UK,Rejected (Permanently)
24-Jan-21,potato ricer,Amazon UK,Rejected (Permanently)
22-Jan-21,moss pole,Amazon UK,Rejected (Permanently)
21-Jan-21,Golf mat,Amazon UK,Rejected (Permanently)
21-Jan-21,Head massager,Amazon UK,Rejected (Permanently)
20-Jan-21,Dust Sheets,Amazon UK,Rejected (Permanently)
18-Jan-21,polymer clay,Amazon UK,Rejected (Permanently)
17-Jan-21,wire wool,Amazon UK,Rejected (Permanently)
17-Jan-21,wire cutters,Amazon UK,Rejected (Permanently)
17-Jan-21,rotary cutter,Amazon UK,Rejected (Permanently)
10-Feb-21,curtain tiebacks,Amazon UK,Rejected (Permanently)
9-Feb-21,nespresso pod holder,Amazon UK,Rejected (Permanently)
9-Feb-21,brown paper,Amazon UK,Rejected (Permanently)
