Product Name,Price(£),Brand,Reviews,Rating,Monthly Sale,Daily Sale,Monthly Revenue,Date First Available,Category,Fees,Seller Type,Number of Sellers,Dimension,Weight
"Yoocaa Baby Nest, Baby Nest Pod for Newborn, Portable Breathable Cotton Baby Lounger for Napping and Traveling (0-12 Months), Cloud
B08S6LH6RR",£37.99,Yoocaa,382,4.7,153,8,"£5,812",03/29/2021,Baby Products,£7.99,FBA,1,28.1cm × 33.7cm × 12.9cm,1.63 kg
"Small bags - Brown Paper Bags with Flat Handles, 50 Pack - H22 × W18 × D9cm | Merrimen
B0949LKW9X",£9.49,Merrimen,6,4.1,"1,469",61,"£13,941",05/20/2021,Home & Kitchen,£3.63,FBA,1,25.0cm × 7.0cm × 30.0cm,0.69 kg
"Huxters Thank You Teacher Card – Thank You for Being an Amazing Teacher Greeting Cards – Appreciation Card with Red Envelope – Premium 350gsm Paper – Ideal for Leaving Teachers and Assistants
B097KN5KSH",£3.99,Huxters,0,,540,28,"£2,155",06/19/2021,Stationery & Office Supplies,£1.21,FBA,1,0.1cm × 21.0cm × 14.8cm,0.02 kg
"Jacquard Cyanotype Sensitizer Set
B010MN312S",£20.99,Jacquard,711,4.7,373,12,"£7,829",03/07/2016,Home & Kitchen,£5.39,FBA,4,14.5cm × 24.1cm × 5.2cm,0.16 kg
"Desk Lamp | 18 LEDs | Super-Bright! | Prevent Eye Strain | Flexible & 360° Rotatable Neck | Rechargeable & 3X Bigger Batteries | Energy-Efficient & 100% Safe
B08YS1GDTB",£4.99,Desirez2Door,271,3.6,652,20,"£3,253",03/12/2021,Lighting,£1.81,FBA,1,9.5cm × 2.1cm × 13.0cm,0.18 kg
"Hanfords Egyptian Cotton 200 Thread Count 2 Pack Oxford Pillow Cases (Grey Silver)
B093TFXHVX",£4.49,Hanfords,7,4.6,364,9,"£1,634",04/28/2021,Home & Kitchen,£1.74,FBA,2,17.0cm × 2.1cm × 25.0cm,0.3 kg
"BG Electrical NBS42-01 nbs42 10AX Double 2-Way Metal Brushed Steel Light Switch
B007CXBGE2",£4.48,BG Electrical,"33,218",4.7,"12,972",467,"£58,115",07/27/2010,DIY & Tools,£2.76,AMZ,13,11.5cm × 3.0cm × 17.5cm,0.13 kg
"First4Spares Power Tool Hose Adaptor Kit For Dust Extraction Vacuum Cleaners
B006RHKGCW",£7.25,First4spares,"1,023",4.1,407,12,"£2,951",12/30/2011,Home & Kitchen,£3.32,FBM,8,15.5cm × 17.1cm × 4.7cm,0.1 kg
"Miele 10455360 TurboTeq STB 305-3, Plastic, Black
B0749WMW3X",£60.63,Miele,491,4.6,508,24,"£30,800",03/07/2018,Home & Kitchen,£11.46,FBA,12,29.6cm × 31.8cm × 9.2cm,0.96 kg
"Epoxy Resin Clear Crystal Kit 1000ml/32oz, Professional Quality 2 Part Coating and Casting Resin Epoxy Glue with Gloves, Graduated Cups & Sticks for Art, Craft, Wood, Jewelry Making, River Tables
B08TCCRT4G",£28.99,immiHome,29,4.7,210,7,"£6,088",12/30/2020,Home & Kitchen,£6.62,FBA,1,13.2cm × 20.9cm × 6.7cm,1.15 kg
