"Export date: 7/9/2021, 11:58:25 PM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Reviews","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: -kvnjdsnfkjew","","1","Ninja Cold Press Juicer [JC100UK] Slow Juicer Masticating Juicer 500 ml Juice Jug 3 Pulp Filters Cleaning Brush BPA-Free","Ninja","129.00","258","6","33282","05/30/2021","107.08","23","3.7","21.92","25804","Home & Kitchen","B091YVDF43","https://www.amazon.co.uk/Ninja-JC100UK-Masticating-Cleaning-BPA-Free/dp/B091YVDF43/ref=sr_1_100?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857069&s=kitchen&sr=1-100"
"Average Sales: 2,273","","2","NAVK Pink Tinsel Party Decorations Foil Fringe Curtain Sparkle Metallic Streamers for Birthday Party Wedding Backdrop-1x2.5m","NAVK","3.59","491","14","1763","05/24/2021","2.44","5","3.6","1.15","8266","Home & Kitchen","B093Y6D87N","https://www.amazon.co.uk/NAVK-Decorations-Metallic-Streamers-Backdrop-1x2-5m/dp/B093Y6D87N/ref=sr_1_101?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857069&s=kitchen&sr=1-101"
"Average Sales Rank: 4,361","","3","Digital kitchen Scales 3000g / 0.1g High-precision Food Scales with Backlit LCD Display Stainless Steel Multifunctional Scale With 2 Weighing Pans Batteries Included","Anbobo","9.97","995","36","9920","03/29/2021","6.23","36","4.4","3.74","2141","Home & Kitchen","B0919W6CFH","https://www.amazon.co.uk/High-precision-Stainless-Multifunctional-Weighing-Batteries/dp/B0919W6CFH/ref=sr_1_102?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857069&s=kitchen&sr=1-102"
"Average Price: £16.37","","4","DEVOGUE Aluminum Metal Pizza Peel 12 Inches X 14 Inches with Folding Oak Wood Handle Pizza Rocker 14 Inches with Protective Cover Pizza Paddle for Baking Pizza and Bread Lovers","DeVogue","19.49","488","21","9511","06/16/2021","14.33","0","","5.16","4643","Home & Kitchen","B091Z3SLKY","https://www.amazon.co.uk/DEVOGUE-Aluminum-Inches-Folding-Protective/dp/B091Z3SLKY/ref=sr_1_103?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857069&s=kitchen&sr=1-103"
"Average Reviews: 1,859","","5","LED Strip Lights with Remote 5MRomwish Flexible Color Changing Led Lights for Bedroom 5050 RGB Led Tape Lights with 44key IR Remote 24V Power Supply RGB Led Light for Room Bar TV Kitchen Party","Romwish","7.99","3052","113","24385","12/21/2020","4.59","1479","4.3","3.4","51","Lighting","B08R3G4QLY","https://www.amazon.co.uk/Romwish-Flexible-Changing-Bedroom-Kitchen/dp/B08R3G4QLY/ref=sr_1_66?dchild=1&keywords=-kvnjdsnfkjew&qid=1625856955&s=kitchen&sr=1-66"
"","","6","5pcs Fish Scale Microfibre Cleaning Cloths Kitchen 30x40cm Towels Reusable Lint Free Cleaning Cloth and Super Absorbent Polishing Wipes for Mirrors Car Screen Glass Dishes Dish Screens Window","Elehui","7.99","881","43","7039","04/27/2021","5.72","17","4.8","2.27","1592","Home & Kitchen","B093KF4FKK","https://www.amazon.co.uk/Microfibre-Cleaning-Reusable-Absorbent-Polishing/dp/B093KF4FKK/ref=sr_1_105?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857069&s=kitchen&sr=1-105"
"","","7","Pink Shredded Tissue Paper- Shredded Paper for Gift Bags- Perfect for Gift Boxes Hamper Basket and Gift Basket - Shredded Tissue Paper Gift Hamper Art & Craft Supplies","GenBuy","3.49","308","11","1075","06/16/2021","0.75","0","","2.74","11667","Home & Kitchen","B097CHM2K5","https://www.amazon.co.uk/Shredded-Tissue-Paper-Perfect-Hamper/dp/B097CHM2K5/ref=sr_1_106?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857069&s=kitchen&sr=1-106"
"","","8","Vinsani 30 metre Retractable Reel Clothes Lines Washing Line with Twin Cable - Wall Mounted Heavy Duty Clothes Dryer 2 x 15m Lines of Drying Space Black","Vinsani","21.99","385","13","8466","06/10/2021","16.45","2","5","5.54","9607","Home & Kitchen","B0971BVZBV","https://www.amazon.co.uk/Vinsani-metre-Retractable-Clothes-Washing/dp/B0971BVZBV/ref=sr_1_97?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857069&s=kitchen&sr=1-97"
"","","9","Paw Dog Cake Toppers Paw Dog Mini Figures Set 12 Pcs Paw Dog Patrol Cake Toppers Mini Figures Set Paw Dog Patrol Birthday Party Supplies Cupcake Figurines Party Cake Decoration Supplie (Design 2)","EKKONG","10.99","503","17","5528","05/15/2021","7.1","10","4.6","3.89","2986","Toys & Games","B094XHFGCL","https://www.amazon.co.uk/Toppers-Birthday-Supplies-Figurines-Decoration/dp/B094XHFGCL/ref=sr_1_98?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857069&s=kitchen&sr=1-98"
"","","10","TSLBW Color Changing Cups 5 Pcs Colored Acrylic Cups Reusable Tumblers with Lids and Straws Plastic Bulk Christmas Iced Strata Cups Plastic Cold Water Tumblers Iced Coffee Cups for Adults Kids","TSLBW","11.99","220","13","2638","05/24/2021","7.98","6","5","4.01","9254","Home & Kitchen","B095N4LT1Y","https://www.amazon.co.uk/TSLBW-Changing-Reusable-Tumblers-Christmas/dp/B095N4LT1Y/ref=sr_1_102?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857069&s=kitchen&sr=1-102"
"","","11","WisyLLC Citrus Orange Lemon Squeezer Manuel hand juicer with glass and with handle and pour spout heavyweight glass for break resistance from WisyLLC Premium Collection","WisyLLC","5.55","615","27","3413","05/09/2021","2.52","16","4.7","3.03","3368","Home & Kitchen","B094HKDKZK","https://www.amazon.co.uk/WisyLLC-Squeezer-heavyweight-resistance-Collection/dp/B094HKDKZK/ref=sr_1_103?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857069&s=kitchen&sr=1-103"
