"Export date: 7/10/2021, 12:00:08 AM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Reviews","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: -kvnjdsnfkjew","","1","Diffuserlove Diffuser 500ML Essential Oil Diffuser Remote Control Ultrasonic Air Scented Aroma Diffuser Humidifier with 7 Color LED Lights for Office Home Bedroom Living Room","Diffuserlove","15.99","399","13","6380","04/06/2021","11.36","41","5","4.63","5473","Health & Personal Care","B091SV5Y8T","https://www.amazon.co.uk/Diffuserlove-Diffuser-Essential-Ultrasonic-Humidifier/dp/B091SV5Y8T/ref=sr_1_148?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857171&s=kitchen&sr=1-148"
"Average Sales: 2,202","","2","Meat Thermometer DOQAUS Instant Read Cooking Thermometer Digital Food Thermometer Backlight LCD Screen Foldable Long Probe & Auto On/Off Perfect for Kitchen Cooking BBQ WaterMeat Milk (Black)","DOQAUS","7.64","9848","328","75239","08/18/2019","4.29","12970","4.6","3.35","15","Garden & Outdoors","B07WKKS4HB","https://www.amazon.co.uk/Thermometer-DOQAUS-Instant-Backlight-Foldable/dp/B07WKKS4HB/ref=sr_1_149?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857171&s=kitchen&sr=1-149"
"Average Sales Rank: 4,744","","3","Samsung DA29-10105J External Fridge Water Filter Model HAFEX/EXP","Samsung","16.95","990","33","16781","11/02/2011","12.18","159","4.7","4.77","3025","Home & Kitchen","B07XF11664","https://www.amazon.co.uk/Samsung-WPRO-K3MFC2010F-originale-DA29-10105J/dp/B07XF11664/ref=sr_1_150?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857171&s=kitchen&sr=1-150"
"Average Price: £11.86","","4","Baby Shower Bundle - 7 Hilarious Baby Shower Games (classy party games pack for 1-20 guests - unisex/girls/boys)","Gutter Games","15.99","650","27","10394","06/15/2021","","0","","","1625","Toys & Games","B0979N3WYM","https://www.amazon.co.uk/Baby-Shower-Bundle-Hilarious-classy/dp/B0979N3WYM/ref=sr_1_151?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857171&s=kitchen&sr=1-151"
"Average Reviews: 2,612","","5","Croc Odor Fridge Deodoriser Twin Pack","Croc'Odor","4.80","1911","63","9173","10/08/2017","...","1344","4.2","","457","Grocery","B076B3ZL4H","https://www.amazon.co.uk/Croc-Odor-Fridge-Deodoriser-Twin/dp/B076B3ZL4H/ref=sr_1_152?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857171&s=kitchen&sr=1-152"
"","","6","LED Strip Lights 20M Ultra-Long LED Lights Strip Music Sync App Control with Remote 600LEDs RGB LED Lights for Bedroom DIY Color Options LED Tape Lights for Bedroom Ceiling Under The Cabinet","Mexllex","23.99","5121","170","122853","04/10/2020","18.14","4358","4.5","5.85","9","Lighting","B0874F6VK6","https://www.amazon.co.uk/Ultra-Long-Control-600LEDs-Bedroom-Options/dp/B0874F6VK6/ref=sr_1_153?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857171&s=kitchen&sr=1-153"
"","","7","Glass Teapot Teapot with Infuser 1000ml TeaPot for Blooming Tea Loose Tea Flowering Tea Pot Gift Set Scale line Borosilicate Glass Teapot Stovetop Safe Cover Tea Brewer Guide Teapot for 3-5 Cups","MINO ANT","9.99","184","6","1838","03/19/2021","6.28","6","5","3.71","22528","Home & Kitchen","B08YD58MR6","https://www.amazon.co.uk/Infuser-Blooming-Flowering-Borosilicate-Stovetop/dp/B08YD58MR6/ref=sr_1_154?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857171&s=kitchen&sr=1-154"
"","","8","Smiths Reed Diffuser Sticks (120 Pack) | 24cm (L) X 4mm (D) | Eco Friendly Rattan Sticks | Handpicked & Inspected | Ethically Sourced | No Chemicals or Dyes | Natural & Safe","SMITH'S 2015","4.99","499","16","2490","03/30/2021","3.18","17","4.7","1.81","6579","Home & Kitchen","B091CXVRBM","https://www.amazon.co.uk/dp/B091CXVRBM"
"","","9","Amazon Brand - Eono Digital Kitchen Scale Premium Stainless Steel Food Scales Weight Grams and Oz for Baking and Cooking 5KG/1g","Eono","10.99","8857","295","97338","05/18/2020","8.26","3778","4.6","2.73","53","Home & Kitchen","B088QY2JR5","https://www.amazon.co.uk/dp/B088QY2JR5"
"","","10","Retractable Washing Line Outdoor Clothes Line Extendable Washing Line Wall Mounted Clothing Line 2 x 15m Lines Heavy Duty Wash Line Clotheslines for Indoor/Outdoor Laundry Drying","fireowl","19.99","373","12","7456","05/17/2021","14.75","1","5","5.24","11315","Home & Kitchen","B0953C6VWP","https://www.amazon.co.uk/dp/B0953C6VWP"
"","","11","Ice Cube Trays 2 Pack 14-Ice Trays with Spill-Resistant Removable Lid Easy-Release Silicone and Flexible  BPA Free Stackable Durable and Dishwasher Safe (Green&Blue)","Shivpiin","4.87","522","17","2542","04/05/2021","1.91","18","4.6","2.96","3556","Home & Kitchen","B091Q6DX4W","https://www.amazon.co.uk/dp/B091Q6DX4W"
"","","12","Colour Changing Cups - 5 PCS Reusable Plastic Tumblers with Lids & Straws BPA Free Magic Colored Bulk Party Tumbler Iced Water Coffee Travel Mugs - 16oz Cold Drink Cup for Adults Kids","HAPPON","14.99","323","12","4842","06/05/2021","10.52","3","3.9","4.47","9812","Home & Kitchen","B096P5DYCY","https://www.amazon.co.uk/Colour-Changing-Cups-Reusable-Tumblers/dp/B096P5DYCY/ref=sr_1_149?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857171&s=kitchen&sr=1-149"
"","","13","Breville Deep Fill Sandwich Toaster and Toastie Maker with Removable Plates Non-Stick Stainless Steel [VST041]","Breville","20.00","8887","296","177740","01/01/2011","14.76","17126","4.6","5.24","17","Home & Kitchen","B00KM15VWY","https://www.amazon.co.uk/dp/B00KM15VWY"
"","","14","White Cake Boxes - 10'' Square (254mm sq.) (Pack of 10)","Culpitt","10.45","457","15","4776","03/08/2018","7.22","760","4.8","3.23","2152","Home & Kitchen","B07YBKQZVQ","https://www.amazon.co.uk/dp/B07YBKQZVQ"
"","","15","50 PCS Jewellery Clasps Lobster Clasp Key Split Clips Keychain Hooks for Jewellery Making Accessory DIY Crafts Suppliers","Syolee","3.99","398","15","1588","04/13/2021","2","13","4.9","1.99","7322","Home & Kitchen","B092CSHJBY","https://www.amazon.co.uk/Jewellery-Lobster-Keychain-Accessory-Suppliers/dp/B092CSHJBY/ref=sr_1_152?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857171&s=kitchen&sr=1-152"
"","","16","KINGTUHUA Grilling Accessories BBQ Grill Set with Thick Stainless Steel Spatula ForkTongs & Cleaning Brush for SmokerBarbecueCampingKitchen 4PCs Gift Box Package","KINGTUHUA","12.99","187","6","2429","04/09/2021","6.92","0","","6.07","2586","Garden & Outdoors","B0924F1V7Z","https://www.amazon.co.uk/dp/B0924F1V7Z"
"","","17","TransOurDream Tru-Transfer Paper for Light Fabric Inkjet 20 Sheets A4 Iron on Heat Transfer Paper for T Shirt Printing Paper Easy to Use Wash Durable Printable Heat Transfer Vinyl (TOD-1)","TransOurDream","8.99","1666","55","14977","12/31/2020","5.43","496","4.1","3.56","261","Stationery & Office Supplies","B08CN3N48H","https://www.amazon.co.uk/dp/B08CN3N48H"
"","","18","Charminer Double-Sided Window Glass Cleaning bursh Cleaner Household Cleaning Windows ToolsGlass Double-Sided Wiperfits15-20 mm Thickness Single GlassAnti-Falling Rope(2m) Strong magnetic(Crimson)","Charminer","24.99","351","11","8771","03/30/2021","18.99","527","4.4","6","3516","Grocery","B091BQLYY2","https://www.amazon.co.uk/dp/B091BQLYY2"
"","","19","PLASTIFIC Chinese Chopsticks Wooden Bamboo STIR Fry Party Reusable Japanese Traditional (10)","PLASTIFIC","1.99","159","5","316","03/19/2021","-0.52","2","4.5","2.51","10144","Home & Kitchen","B08ZJJ8T8N","https://www.amazon.co.uk/dp/B08ZJJ8T8N"
"","","20","Balloons Hand Pump Portable Double Action Air Blower Hand-Held Kit 2 Packs Air Inflator Pump Balloons for Birthday Wedding Party","DTnewsun","6.69","227","7","1519","05/28/2021","3.49","0","","3.2","7422","Home & Kitchen","B09639ZMGG","https://www.amazon.co.uk/dp/B09639ZMGG"
"","","21","Double Tap Bath Sink Shower Head Hose Spray Hair Dresser Pet Push On Mixer 1.5 - 1.7m with Stainless Steel Clamps","Lexicon Select","15.99","455","15","7275","07/17/2017","11.82","43","4.1","4.17","2073","DIY & Tools","B08WRHLZTM","https://www.amazon.co.uk/dp/B08WRHLZTM"
"","","22","Meat Thermometer COOLAPA Kitchen Thermometer Instant Read Food Thermometer with 5.9inches Long Probe for Kitchen Steak Turkey Roasting Grill BBQMilkBaking etc","COOLAPA","5.23","403","13","2108","06/25/2020","3.38","72","4.4","1.85","13793","Home & Kitchen","B088VXRDR9","https://www.amazon.co.uk/dp/B088VXRDR9"
"","","23","SonicScrubber Household Electrical Cleaning Brush (Combi Pack)","SONICSCRUBBERS - Power Cleaning System","18.99","5843","194","110959","09/08/2016","13.87","18474","4.6","5.12","82","Grocery","B01LVV6THF","https://www.amazon.co.uk/dp/B01LVV6THF"
"","","24","Decco Ltd Rentokil FF89 Pesticide Free Fly Paper (Pack of 8) Multi","Rentokil","3.18","4136","137","13152","06/05/2011","0.48","2482","4.2","2.7","49","Garden & Outdoors","B007R2HOR6","https://www.amazon.co.uk/dp/B007R2HOR6"
